id;name;type;life;peer_id;peer_name;misc;zvalue;geom
0;P0;MAXIMUM;3449.000000;-1;;"name:P0|type:MAXIMUM|life:3449.000000|pair-type:H0|paired-to:|z:4268.000000";4268.000000;"POINT (652762.500000 154237.500000)"
1;P1;MINIMUM;0.328696;2;P2;"name:P1|type:MINIMUM|life:0.328696|pair-type:H0|paired-to:P2|z:819.000000";819.000000;"POINT (636237.500000 157862.500000)"
2;P2;SADDLE;0.328696;1;P1;"name:P2|type:SADDLE|life:0.328696|pair-type:H0|paired-to:P1|z:819.328674";819.328674;"POINT (636262.500000 157887.500000)"
3;P3;MINIMUM;3.000000;4;P4;"name:P3|type:MINIMUM|life:3.000000|pair-type:H0|paired-to:P4|z:1024.000000";1024.000000;"POINT (636587.500000 157587.500000)"
4;P4;SADDLE;3.000000;3;P3;"name:P4|type:SADDLE|life:3.000000|pair-type:H0|paired-to:P3|z:1027.000000";1027.000000;"POINT (636562.500000 157587.500000)"
5;P5;MINIMUM;13.000000;6;P6;"name:P5|type:MINIMUM|life:13.000000|pair-type:H0|paired-to:P6|z:1083.000000";1083.000000;"POINT (636737.500000 157462.500000)"
6;P6;SADDLE;13.000000;5;P5;"name:P6|type:SADDLE|life:13.000000|pair-type:H0|paired-to:P5|z:1096.000000";1096.000000;"POINT (636712.500000 157462.500000)"
7;P7;MINIMUM;8.000000;8;P8;"name:P7|type:MINIMUM|life:8.000000|pair-type:H0|paired-to:P8|z:1083.000000";1083.000000;"POINT (636687.500000 157487.500000)"
8;P8;SADDLE;8.000000;7;P7;"name:P8|type:SADDLE|life:8.000000|pair-type:H0|paired-to:P7|z:1091.000000";1091.000000;"POINT (636687.500000 157512.500000)"
9;P9;MINIMUM;10.000000;10;P10;"name:P9|type:MINIMUM|life:10.000000|pair-type:H0|paired-to:P10|z:1088.000000";1088.000000;"POINT (636837.500000 157437.500000)"
10;P10;SADDLE;10.000000;9;P9;"name:P10|type:SADDLE|life:10.000000|pair-type:H0|paired-to:P9|z:1098.000000";1098.000000;"POINT (636787.500000 157462.500000)"
