id;name;type;life;peer_id;peer_name;misc;zvalue;geom
0;C0;MAXIMUM;206.282137;82;C82;"mm-point-critical|C0";3448.000000;"POINT (636087.500000 140737.500000)"
1;C1;SADDLE;2.352519;2;C2;"mm-point-critical|C1";3343.000000;"POINT (636087.500000 140962.500000)"
2;C2;MAXIMUM;2.352519;1;C1;"mm-point-critical|C2";3353.000000;"POINT (636087.500000 141012.500000)"
3;C3;SADDLE;25.097084;10;C10;"mm-point-critical|C3";3205.000000;"POINT (636087.500000 141287.500000)"
4;C4;MAXIMUM;2.046934;5;C5;"mm-point-critical|C4";3226.000000;"POINT (636087.500000 141362.500000)"
5;C5;SADDLE;2.046934;4;C4;"mm-point-critical|C5";3225.000000;"POINT (636087.500000 141387.500000)"
6;C6;MAXIMUM;2.334721;7;C7;"mm-point-critical|C6";3387.000000;"POINT (636087.500000 141487.500000)"
7;C7;SADDLE;2.334721;6;C6;"mm-point-critical|C7";3383.640000;"POINT (636087.500000 141537.500000)"
8;C8;MAXIMUM;2.258510;9;C9;"mm-point-critical|C8";3405.000000;"POINT (636087.500000 141612.500000)"
9;C9;SADDLE;2.258510;8;C8;"mm-point-critical|C9";3398.000000;"POINT (636087.500000 141662.500000)"
10;C10;MAXIMUM;25.097084;3;C3;"mm-point-critical|C10";3443.000000;"POINT (636087.500000 141687.500000)"
11;C11;MAXIMUM;2.872709;12;C12;"mm-point-critical|C11";2891.000000;"POINT (636087.500000 145937.500000)"
12;C12;SADDLE;2.872709;11;C11;"mm-point-critical|C12";2876.000000;"POINT (636087.500000 146012.500000)"
13;C13;MAXIMUM;2.615408;14;C14;"mm-point-critical|C13";2918.000000;"POINT (636087.500000 146112.500000)"
14;C14;SADDLE;2.615408;13;C13;"mm-point-critical|C14";2911.000000;"POINT (636087.500000 146137.500000)"
15;C15;MAXIMUM;2.628584;16;C16;"mm-point-critical|C15";2949.000000;"POINT (636087.500000 146187.500000)"
16;C16;SADDLE;2.628584;15;C15;"mm-point-critical|C16";2934.000000;"POINT (636087.500000 146237.500000)"
17;C17;MAXIMUM;2.291570;18;C18;"mm-point-critical|C17";2961.000000;"POINT (636087.500000 146287.500000)"
18;C18;SADDLE;2.291570;17;C17;"mm-point-critical|C18";2956.000000;"POINT (636087.500000 146312.500000)"
