id;name;type;life;peer_id;peer_name;misc;zvalue;geom
0;C0;MAXIMUM;91.366044;1;C1;"mm-point-critical|C0";2632.970245;"POINT (3285.000000 5445.000000)"
1;C1;SADDLE;91.366044;0;C0;"mm-point-critical|C1";1464.338434;"POINT (4125.000000 7155.000000)"
2;C2;SADDLE;58.281060;3;C3;"mm-point-critical|C2";1419.120150;"POINT (4305.000000 3915.000000)"
3;C3;MAXIMUM;58.281060;2;C2;"mm-point-critical|C3";2099.401299;"POINT (5085.000000 2775.000000)"
4;C4;MAXIMUM;181.019336;-1;;"mm-point-critical|C4";4077.761078;"POINT (6075.000000 9315.000000)"
5;C5;MINIMUM;27.780025;6;C6;"mm-point-critical|C5";-827.068768;"POINT (6435.000000 5865.000000)"
6;C6;SADDLE;27.780025;5;C5;"mm-point-critical|C6";-690.535945;"POINT (7185.000000 5355.000000)"
7;C7;SADDLE;58.800106;10;C10;"mm-point-critical|C7";2731.423419;"POINT (8025.000000 8835.000000)"
8;C8;MINIMUM;157.407612;12;C12;"mm-point-critical|C8";-1907.281433;"POINT (9135.000000 4095.000000)"
9;C9;SADDLE;147.808388;11;C11;"mm-point-critical|C9";-0.263202;"POINT (9315.000000 15.000000)"
10;C10;MAXIMUM;58.800106;7;C7;"mm-point-critical|C10";3909.823613;"POINT (9465.000000 8445.000000)"
11;C11;MAXIMUM;147.808388;9;C9;"mm-point-critical|C11";8.591813;"POINT (11985.000000 285.000000)"
12;C12;SADDLE;157.407612;8;C8;"mm-point-critical|C12";-162.199596;"POINT (11985.000000 4065.000000)"
